styles,parent,colors,ABV_RANGE,IBU_RANGE,description
Stout,Ale,#470606,3.2-12.0%,15-90,"Stout is a dark, top-fermented beer with a number of variations, including dry stout, Baltic porter, milk stout, and imperial stout.
The first known use of the word stout for beer was in a document dated 1677 found in the Egerton Manuscripts, the sense being that a ""stout beer"" was a strong beer, not a dark beer. The name porter was first used in 1721 to describe a dark brown beer that had been made with roasted malts. Because of the huge popularity of porters, brewers made them in a variety of strengths. The stronger beers, typically 7% or 8% alcohol by volume (ABV), were called ""stout porters"", so the history and development of stout and porter are intertwined, and the term stout has become firmly associated with dark beer, rather than just strong beer."
Porter,Ale,#5A0A02,4.0-10.0%,20-45,"Porter is a dark style of beer developed in London from well-hopped beers made from brown malt. The name was first recorded in the 18th century, and is thought to come from its popularity with street and river porters, who carried objects for others.
The history and development of stout and porter beer types are intertwined. The name ""stout"", used for a dark beer, is believed to have come about because strong porters were marketed under such names as ""extra porter"", ""double porter"", and ""stout porter"". The term stout porter would later be shortened to just stout. For example, Guinness Extra Stout was originally called ""Extra Superior Porter"" and was only given the name ""Extra Stout"" in 1840."
German Ale,Ale,#FBB123,4.0-6.0%,8-20,Please check the child styles
German Lager,Lager,#FBB123,3.8-7.6%,15-40,Please check the child styles
European Lager,Lager,#F8A600,4.0-7.0%,8-40,Please check the child styles
Lambic & Sour Ale,Ale,#952D00,3.0-13.0%,5-70,"Includes young lambics, gueuze lambic, fruit lambic, faro. Lambic beers are perhaps the most individualistic style of beer in the world. Lambics are produced in tiny quantities immediately south of the Belgian capital, Brussels. Lambic brewers use native wild yeasts in the open-air fermentation process to produce these specialties. This unusual fermentation, in conjunction with extended aging in oak barrels, imparts a unique vinous character with a refreshing sourness and astonishing complexity. Lambics labeled as gueuze are a blend of young and old beers. Such blending results in a sharp champagne-like effervescence and tart, toasty flavors. Those labeled as faro have had sugar, caramel or molasses added in order to impart a note of sweetness. Lambic beers, however, are more often seen in the United States when they have been flavored with fruits. Kriek (cherry) and framboise (raspberry) are the most popular and traditional fruits employed. Other exotic fruits are widely used in juice form in the more commercial examples of lambic beer, much to the consternation of purist connoisseurs."
Irish Ale,Ale,#CF6900,3.8-6.0%,20-30,"The ales of Ireland have a gentle maltiness, caramelly, earthy notes, and a generally restrained hop character. They are session ales, so alcohol is generally at 5% abv or less, though you will find the occasion stronger example. The major macrobrewed Irish ales are red ales, but the majority of examples are from New World microbreweries working with Michael Jackson’s description of Irish ale."
American Wild Ale,Ale,#7B1A00,6.0-10.0%,5-30,"Sometimes Belgian influenced, American Wild Ales are beers that are introduced to ""wild"" yeast or bacteria, such as Brettanomyces, Pediococcus, or Lactobacillus. This introduction may occur from oak barrels that have been previously inoculated, pitching into the beer, or gained from various ""sour mash"" techniques. Regardless of the method, these yeast and/or bacteria leave a mark that should be noticeable to strong, and often contribute a sour and/or funky, wild note. Mixed-fermentation examples will display a range of aromatics, rather than a single dominant character."
Belgian Pale Ale,Belgian / French Ale,#D77200,4.5-7.0%,20-30,"The Belgian brewing scene is littered with Belgian Pales, which were initially brewed to compete with Pilseners during the WWII era. Traditionally, they differ from other regional Pale Ales by being less bitter, using aged hops for a delicate hop finish, and having sweet to toasty malt overtones. They should be decanted properly, leaving the yeast in the bottle. This will showcase their brilliant color range from pale straw yellow to various amber hues. Most will be crowned with thick, clinging, rocky white heads. Flavors and aromas will vary. Some have natural spice character contributed by yeast and hops, while others are deliberately spiced. There's also a more recent trend to make hoppier Pale Ales to entice the US market and its hopheads. "
American Pale Ale,Pale Ale,#EA8F00,4.5-6.2%,30-50,"American Pale Ales are light in color, ranging from golden to a light copper color. The style of this beer is typically defined by a balance between pale malts and hop presence - although without the hop intensity or alcohol strength of an IPA. American Pale Ales generally range in strength from c. 4.5% to 6.5% (although there are examples outside of this range)."
India Pale Ale,Pale Ale,#DE7C00,5.0-7.5%,40-70,"India pale ale (IPA) is a hoppy beer style within the broader category of pale ale. 
The story of India pale ale (IPA) is one of the most romantic in the history of beer. At the height of its empire, Britain had emigrants, sailors and troops all around the world—with India being one of its most important outposts. All demanded beer, but India itself was too warm for brewing. To meet that need, London brewers who supplied ale learned through experience that the voyage to India could be tough on perishable beers.
George Hodgson, a London brewer in the late 1700s, used his connections to the East India Co. to dominate the export market to the colony. Among other beers, Hodgson exported a strong pale ale. It was probably brewed with extra additions of hops and at higher alcohol levels, both of which act as preservatives. The long voyage transformed the beer into a wonderful drink.
But Hodgson overreached, and that opened the door to the brewers of Burton-on-Trent, in the English Midlands. The pale ale coming from the Trent valley tasted far better than London brews, because its hard water produced a brighter ale—one with a pleasant and refreshing hop character.
Burton brewmaster Samuel Allsop succeeded in brewing one of exceptional quality. It displaced the London beers to become the preferred export to the English colonies. This came to be called India pale ale, or IPA."
American Pale Lager,American Lager,#FFCA5A,4.0-6.0%,18-25,"The most common lager beers in worldwide production are pale lagers. The flavor of these lighter lagers is usually mild, and the producers often recommend that the beers be served refrigerated. Pale lager is a very pale to golden-colored lager with a well attenuated body and noble hop bitterness. "
American Adjunct Lager,American Lager,#FFD878,4.0-6.0%,8-18,"Light bodied, pale, fizzy lagers made popular by the large macro-breweries (large breweries) of America after Prohibition. Low bitterness, thin malts, and moderate alcohol. Focus is less on flavor and more on mass-production and consumption, cutting flavor and sometimes costs with adjunct cereal grains, like rice and corn."
American Wheat,Wheat beer,#FFBF42,4.0-5.0%,15-30,"American-style wheat ales are clear or hazy, clean and crisp golden-colored beers fermented with a non-European yeast strain. Although they may look similar to German weizens, they do not taste like them. Estery and phenolic German weizen yeast aromas and flavors typically will not be found in these beers. Beers in this category feature American hops varieties, ranging from low to high hop bitterness; they are usually available only in summer months, but some are year-round brews."
Strong Ale,Pale Ale,#B54C00,5.5-9.0%,30-60,"Strong ales are sometimes referred to as old ales, stock ales or winter warmers. These beers are higher alcohol versions (typically between 5.5-7 percent ABV) of pale ales, though not as robust or alcoholic as barley wines. Usually a deep amber color, these brews generally have a sweet malty palate and a degree of fruitiness. If bottle conditioned, strong ales can improve for several years, in some cases eventually obtaining sherry-like notes."
Belgian Dark Ale,Belgian / French Ale,#B04500,4.5-7.5%,15-25,"Belgian Darks offer a massive range of characters. The colors play within the amber to light brown and even deep garnet range of hues, topped with thick, rocky heads of great retention. Aromas can offer anything from traces of yeast, spices, malt, floral attributes, and on occasion, slightly intoxicating notes. Flavors run the gamut from dry and spiced, to sweet and malty. Most examples of Belgian Dark Ale have a low level of bitterness."
Weissbier,German Lager,#FFBF42,4.3-5.6%,8-15,"Weissbier is the classical wheat beer of Bavaria and one of Germany’s greatest and most distinctive beer styles. Weissbier means “white beer” in German. This name derives from the yellowish-white tinge that is imparted by the pale wheat and barley malts from which the beer is made. Outside Bavaria, most weissbier is better known as hefeweizen, literally “yeast wheat” in German. This name is derived from the fact that it is a wheat-based beer that is usually packaged unfiltered, with plenty of yeast turbidity in the finished beer. According to German law, a beer that is labeled hefeweizen, weizenbier, or weissbier (these three terms are largely interchangeable, but there is also a filtered version of weissbier called “kristallweizen”) must be made with at least 50% malted wheat.
"
Bock,German Lager,#A63E00,6.3-7.6%,20-30,"Bock is a bottom fermenting lager that generally takes extra months of lagering (cold storage) to smooth out such a strong brew. Bock beer in general is stronger than your typical lager, more of a robust malt character with a dark amber to brown hue. Hop bitterness can be assertive enough to balance, though must not get in the way of the malt flavor, most are only lightly hopped."
English Pale Ale,Pale Ale,#FFBF42,3.8-6.0%,20-40,"The English Pale Ale can be traced back to the 19th century and the city of Burton-upon-Trent, a place with an abundance of hard water, rich in calcium sulfate. As well as enhancing a beer's hop bitterness, this hard water helps achieve clarity. English Pale Ale can fall anywhere on the color spectrum between golden and reddish amber and should generally have good head retention. A mix of fruity, hoppy, earthy, buttery, and malty aromas and flavors can be found in the sip, not unlike a classic Bitter. Traditionally all ingredients are English in origin."
Munich Lager,German Lager,#B54C00,4.0-6.0%,15-25,"Munich malt can provide a bready, richly malty quality that enhances the malt backbone of a beer without adding residual sweetness. Darker Munich malts can add a deeply toasted malt quality similar to toasted bread crusts. Dunkel is the German word meaning dark, and dunkel beers typically range in colour from amber to dark reddish brown, and are characterized by their smooth malty flavor."
Imperial Stout,Stout,#470606,7.0-12.0%,50-80,"The Imperial Stout is the strongest in alcohol and body of the Stouts. Black in color, these beers typically have an extremely rich malty flavor and aroma with full, sweet malt character. Bitterness can come from roasted malts or hop additions."
Belgian Abbey / Trappist,Belgian Pale Ale,#C35900,7.0-14.0%,20-35,"Belgian Strong Ales can vary from pale to dark brown in color, darker ales may be colored with dark candy sugar. Hop flavor can range from low to high, while hop aroma is low. The beers are medium to full-bodied and have a high alcoholic character. Types of beers included here include tripels, dubbels and ultra-strong abbey ales."
Belgian Strong Dark Ale,Belgian Dark Ale,#BB5100,7.0-12.0%,25-50,"On the same path as Belgian Dark Ale but obviously higher in alcohol with more character all around. The alcohol can be deceivingly hidden or very bold and in your face. Look for lots of complexity within a surprisingly delicate palate. Hop and malt character can vary, but most Strong Dark Ales are full of fruity and strong dark malt flavors. Phenols will range from minimal to high and most examples will be light on the hops. All in all, most of these beers are spicy and alcoholic."
Belgian Strong Pale Ale,Belgian Pale Ale,#FFBF42,7.0-12.0%,20-40,"Like a Belgian Pale Ale, the strong versions will also be pale straw to deep golden in color. What sets them apart is a much higher alcohol content that can range from deliciously hidden to devastatingly present. Expect a complex and powerful ale, yet delicate with rounded flavors and a big, billowy, rocky, white head. Hop and malt character can vary, although most are fruity and quite hoppy. In general, hop flavor and aroma will be within the low range and artfully balanced. Duvel is the hallmark of this style, and many other breweries have tried to imitate Duvel Moortgat's quintessential example with similar references to the devil."
Abbey Single Ale,Belgian Abbey / Trappist,#FFBF42,4.5–7.0% ,20–30,"Traditionally, they differ from other regional Pale Ales by being less bitter, using aged hops for a delicate hop finish, and having sweet to toasty malt overtones. They should be decanted properly, leaving the yeast in the bottle. This will showcase their brilliant color range from pale straw yellow to various amber hues. Most will be crowned with thick, clinging, rocky white heads. Flavors and aromas will vary. Some have natural spice character contributed by yeast and hops, while others are deliberately spiced. There's also a more recent trend to make hoppier Pale Ales to entice the US market and its hopheads. See: De Ranke XX Bitter."
Altbier,Other,#CB6200,4.0–7.0%,25–50,"A Düsseldorf specialty, an Altbier is a German-style Brown Ale. The word alt literally translates to ""old"" in German, and traditionally Altbiers are conditioned for a longer than normal periods of time. Other sources note that ""alt"" is derived from the Latin word ""altus,"" which means ""high"" and refers to the rising yeast. Take your pick, but the extended conditioning mellows out this ale's fruitiness and produces an exceptionally smooth, clean, and delicate brew. Its color ranges from amber to dark brown, carbonation is moderate, and while known to express the slightly spicy, herbal character of Noble hops, the key word here is balance. A stronger version brewed less frequently, ""Sticke Alt"" is a maltier and hoppier take on the Altbier.\"
American Amber / Red Ale,American Pale Ale,#CB6200,4.4–6.1%,25–45,"Like most amber beers, American amber ale is named after the golden to amber color this American version of English pale ale exhibits. The color is derived from the use of caramel and crystal malt additions, which are roasted to provide amber beers with the color, body and flavor many beer fans have come to appreciate. Falling under the ale beer type, amber ales ferment at warmer temperatures for what is typically a much shorter amount of time than lager style beers"
American Amber / Red Lager,American Lager,#FFCA5A,4.1-5.1%,30-45,"American Amber/Red lager has little in the way of hop and malt character. A straw to gold, very clean and crisp, highly carbonated lager. Hop aroma and flavor are low to medium-low, deriving from noble-type hops. Hop bitterness is medium. Toasted, biscuit-like, and/or bready malt flavors along with low levels of fermented-malt-derived sulfur compounds may be evident."
American Barleywine,Other,#B54C00,8.5–15%,60–100,"Despite its name, a Barleywine (or Barley Wine) is very much a beer, albeit a strong and often intense beer. In fact, it's one of the strongest styles. Lively and fruity, sometimes sweet, sometimes bittersweet, but always alcoholic. A brew of this strength and complexity can be a challenge to the palate. Expect anything from an amber to a dark brown color, with aromas ranging from rich fruits to bold hops. The body is typically thick, alcohol will definitely be perceived, and flavors range from dominant dark fruits to palate smacking, resiny hops. English varieties are quite different from American efforts, which are often heavily hopped with high alpha oil American hops to create a more bitter brew. English versions tend to be more rounded and balanced with a slightly lower alcohol content, though this is not always the case. Most Barleywines can be cellared for years and will age much like wine."
American Black Ale,India Pale Ale,#440607,6.3-7.6%,50-70,"The American black ale is characterized by the perception of caramel malt and dark roasted malt flavor and aroma. Hop bitterness is perceived to be medium-high to high. Hop flavor and aroma are medium-high. Fruity, citrus, piney, floral and herbal character from hops of all origins may contribute to the overall experience. This beer is often called a black IPA or Cascadian dark ale."
American Blonde Ale,American Pale Ale,#FBB123,4.1–5.1%,15–25,"One of the most approachable styles, a golden or Blonde Ale is an easy-drinking beer that is visually appealing and has no particularly dominating malt or hop characteristics. Rounded and smooth, it is an American classic known for its simplicity. Sometimes referred to as “Golden Ale.” These beers can have honey, spices and fruit added, and may be fermented with lager or ale yeast."
American Brown Ale,Brown Ale,#B04500,4.2–8.8%,25–45,"Roasted malt, caramel-like and chocolate-like characters should be of medium intensity in both flavor and aroma for the American brown ale. American-style brown ales have evident low to medium hop flavor and aroma and medium to high hop bitterness. The history of this style dates back to U.S. homebrewers who were inspired by English-style brown ales and porters. It sits in flavor between those British styles and is more bitter than both."
American Dark Wheat Ale,Wheat beer,#7B1A00,4.0–8.0%,10–35,"An Americanized version of a Dunkelweizen, these beers can range in color from garnet or deep amber to ruby brown. Often cloudy with long-lasting heads, this style tends to be light- to medium-bodied with a high level of carbonation. Hop character might be low or moderately high with some fruitiness from ale fermentation, though most examples use of a fairly neutral ale yeast, resulting in a clean fermentation with little to no diacetyl. Flavors of caramel and toasted malts might be present too, just don't expect German Weizen flavors and aromas of banana esters and clove-like phenols."
American Double / Imperial IPA,India Pale Ale,#DE7C00,7.0–12.0%,65–100,"Take an India Pale Ale and feed it steroids, and you'll end up with a Double or Imperial IPA. Although generally recognizable alongside its sister styles in the IPA family, you should expect something more robust, malty, and alcoholic with a characteristically intense hop profile in both taste and aroma. In short, these are boldly flavored, medium-bodied beers that range in color from deep gold to medium amber. The ""imperial"" usage comes from Russian Imperial Stout, a style of strong Stout originally brewed in England during the late 1700s for the Russian imperial court. Today Double IPA is often the preferred name in the United States."
American Double / Imperial Pilsner,Pilsner,#FBB123,6.5-9.0%,30-65,"Similar to a Pilsner in appearance, but expect a more pronounced malty backbone and an intense bitterness. Malt flavors tend to be quite sweet in many examples. Alcohol can be quite aggressive and lend some spicy notes to the flavor."
American Double / Imperial Stout,Stout,#470606,7.0-12.0%,50-80,"The American-style Imperial Stout is the strongest in alcohol and body of the Stouts. Black in color, these beers typically have an extremely rich malty flavor and aroma with full, sweet malt character. Bitterness can come from roasted malts or hop additions."
American India Pale Lager,American Pale Lager,#FBB123,4.5-7.0%,25-50,"Similar to a Pale Lager, the beers in this style are produces as an IPA, but with Lager yeast. Very pale to golden-colored lager with a well attenuated body and noble hop bitterness. 
India Pale Lagers have a more significant hop flavor, moderate bitterness, and both are backed by a solid malt body and sweet notes from an all-malt base."
American IPA,India Pale Ale,#DE7C00,5.5–7.5%,50–71,"Today's American IPA is a different soul from the IPA style first reincarnated in the 1980s. More flavorful and aromatic than the withering English IPA, its color can range from very pale golden to reddish amber. Hops are the star here, and those used in the style tend to be American with an emphasis on herbal, piney, and/or fruity (especially citrusy) varieties. Southern Hemisphere and experimental hops do appear with some frequency though, as brewers seek to distinguish their flagship IPA from a sea of competitors. Bitterness levels vary, but typically run moderate to high. Medium bodied with a clean, bready, and balancing malt backbone, the American IPA has become a dominant force in the marketplace, influencing brewers and beer cultures worldwide."
American Malt Liquor,American Adjunct Lager,#FFCA5A,6.0-9.0%,10-30,"Straw to pale amber in color, most Malt Liquors are made with excessive amounts of adjuncts, such as corn, rice, and refined brewing sugar (dextrose). As a result, there are very few ""all malt"" malt liquors. Hops are used sparingly, just enough bitterness to balance off any cloyingness. Higher alcohol versions tend to have loads of fusel alcohol, which gives off solvent or fuel-like aromas and flavors. They are highly attenuated, meaning a higher ratio of fermentable sugars are present compared to some other beers, allowing the brewer to achieve a high alcohol content without using as many ingredients. Some breweries enable the use of special enzymes to further break down the malt and adjuncts so they will yield a higher percentage of alcohol. This makes for quite a dry beer, with only a small amount of unfermented sugars and a strong kick from the higher ABV. For the most part, Malt Liquor beers are sold in 40-ounce bottles."
American Pale Ale (APA),Pale Ale,#EA8F00,4.5–6.5%,25–50,"Originally British in origin, this style is now popular worldwide and the use of local or imported ingredients produces variances in character from region to region. American versions tend to be cleaner and hoppier (with the piney, citrusy Cascade variety appearing frequently) than British versions, which are usually more malty, buttery, aromatic, and balanced. Pale Ales range in color from deep gold to medium amber. Fruity esters and diacetyl can vary from none to moderate, and hop aroma can range from lightly floral to bold and pungent. In general, expect a good balance of caramel malt and expressive hops with a medium body and a mildly bitter finish."
American Pale Wheat Ale,American Wheat,#FFBF42,4.0-7.0%,10-35,"An Americanized version of a Hefeweizen, these beers typically fall between pale straw and deep gold in color. Pale Wheat Ales are reminiscent of a Hefeweizen in appearance, unless filtered. Higher carbonation is proper as is a long-lasting head and a light to medium body. German Weizen flavors and aromas of banana esters and clove-like phenols won't be found. Most use a substantial percentage of wheat malt. Hop character could be low or fairly high, but most examples are moderate in bitterness. There may be some fruitiness from ale fermentation though most examples use a fairly neutral ale yeast, resulting in a clean fermentation with little to no diacetyl. Often served with a lemon wedge to either cut the wheat or yeast edge, many people either find this to be a flavorful snap or an insult that damages the beer's taste and head retention."
American Pilsner,Pilsner,#FFBF42,4.9-6.0%,25-40,"Pilsner generally refers to pale, hoppy lagers. From Classic German Pilsners, which tend to be light-to-medium bodied, semi-sweet to off-dry, hopped with German noble hops, to New World artisan renditions in North America, New Zealand, and elsewhere, which showcase modern hop varieties. A separate style category is maintained for Czech Pilsner / Svetly."
American Porter,Porter,#5A0A02,4.0-7.0%,20-40,"nspired by the storied English Porter, the American Porter tends to make its own rules. With plenty of innovation and originality brewers in the US have taken this style to a new level, whether it's highly hopping the brew or adding coffee or chocolate to complement the highly roasted and burnt flavor associated with this type of beer. Some are even barrel aged in bourbon or whiskey barrels. The color could be medium brown to inky black and the range of hop bitterness is also quite wide, but most are balanced. And quite a few easy drinking session Porters can be found as well."
American Stout,Stout,#470606,5.7-8.9%,35-60,"Strikingly bold and undeniably beautiful, the American Stout beer style blends generous amounts of dark malts with American hops to offer an adventurous experience that is unmatched by other styles of beer. Are you afraid of the dark? When it comes to American Stout, don’t be. Allow your senses to run wild with this deceivingly sophisticated take on a European staple. Like many other beer styles that have become prized by American brewers and beer lovers alike, American Stout is a distinct variant of a European Stout beer counterpart. True to style, American stouts showcase generous quantities of the American hops fans have come to expect, and much like other Stout beer types, American stout can be enjoyed year-round but is commonly considered a beer for the fall or winter months."
American Strong Ale,Strong Ale,#CB6200,7.0-20%,40-100,"A catch-all style category for beers from 7 percent alcohol by volume and above. Some may even be as high as 20 percent ABV. As a result, color, aroma, and flavor characteristics will greatly vary; some have similarities to Barleywines and Old Ales. Barrel aging is certainly not out of the question."
American White IPA,India Pale Ale,#F8A600,5.0-7.0%,40-70,"The white IPA is basically a marriage of two distinct beer styles; the American IPA with its high hop character and the wheat-based Belgian Wit with its refreshing and spicy presence. Often hazy in appearance, with a color ranging across the gold spectrum, from deep to pale. Usually presents a moderate to large, long-lasting white head of dense bubbles. May present light to medium spice aromas of coriander and/or pepper. These aromas come from actual spice additions and/or the work of Belgian yeast. Some fruity esters (banana, citrus, apricot) will likely be noticeable. Hop aroma is low to moderate with qualities such as citrus, tropical, and stone fruit coming from American and/or New World varieties."
Baltic Porter,Porter,#882300,6.5-10.0%,20-45,"Porters of the late 1700's were quite strong compared to today's standards, easily surpassing 7 percent alcohol by volume. Some English brewers made a stronger, more robust version, to be shipped across the North Sea that they dubbed a Baltic Porter. In general, the style's dark brown color covered up cloudiness and the smoky, roasted brown malts and bitter tastes masked brewing imperfections. Historically, the addition of stale ale also lent a pleasant acidic flavor to the style, which made it quite popular. These issues were quite important given that most breweries at the time were getting away from pub brewing and opening up production facilities that could ship beer across the world."
Belgian IPA,Belgian Pale Ale,#EA8F00,6.0-11.0%,50-80,"Inspired by American India Pale Ales and Double IPAs, more and more Belgian brewers (like Chouffe & Urthel) are brewing hoppy pale colored ales for the US market. There's been an increase of American brewers making Belgian IPAs, too. Generally, Belgian IPAs are considered too hoppy by Belgian beer drinkers. Various malts are used, but the beers of this style are finished with Belgian yeast strains (bottle-conditioned) while the hops employed tend to be American. You'll generally find a cleaner bitterness versus American IPAs, and a pronounced dry edge, akin to an IPA crossed with a Belgian Tripel. Alcohol by volume is on the high side. Many examples are quite cloudy, and feature tight lacing, excellent head retention, and fantastic billowy heads that mesmerize (thanks, in part, to the hops). Belgian IPA is still very much a developing style."
Berliner Weissbier,Weissbier,#FFD878,2.8-3.4%,3-6,"Low in alcohol, refreshingly tart, and often served with a flavored syrup like Woodruff or raspberry, the Berliner-style Weisse presents a harmony between yeast and lactic acid. These beers are very pale in color, and may be cloudy as they are often unfiltered. Hops are not a feature of this style, but these beers often do showcase esters. Traditional versions often showcase Brettanomyces yeast. Growing in popularity in the U.S., where many brewers are now adding traditional and exotic fruits to the recipe, resulting in flavorful finishes with striking, colorful hues. These beers are incredible when pairing. Bitterness, alcohol and residual sugar are very low, allowing the beer’s acidity, white bread and graham cracker malt flavors to shine. Carbonation is very high, adding to the refreshment factor this style delivers. Many examples of this style contain no hops and thus no bitterness at all."
Biere de Garde,Belgian / French Ale,#CF6900,4.4-8.0%,20-30,"Biere de Garde translates as “beer for keeping.” This style is popping up more and more from US producers. Blonde, amber and brown versions exist. Biere de Garde examples are light amber to chestnut brown or red in color. This style is characterized by a toasted malt aroma and slight malt sweetness. Flavor of alcohol is evident. Often bottle-conditioned, with some yeast character."
Braggot,Other,#FBB123,6.0-12.0%,20-40,"With references dating into the 12th century, Braggot was historically made by blending spices and herbs with mead and beer. Many taverns would make this blend right at the bar, though brewers would also blend them as well. The ultimate goal is a beverage with perceivable honey and beer qualities (meaning malt, hops and/or yeast) that compliment each other, though not necessarily equally present. Ideally, there should be a balance between the honey character and malt flavor with the hop bitterness not overpowering the sweetness while remaining noticeable."
